"","file_identifiers","A.identifier","biosample","batch.extraction","irf.study.id","id.cohort","id.individual","tissue","data.received","dn.rna","date.broad.extract","quant.18s","quant.18s.sd","quant.kulesh","quant.kulesh.sd","rin.e","rna.conc.ng.uL","lib.conc.pmolar","xgen.index","Assigned","Unassigned_Unmapped","Unassigned_Read_Type","Unassigned_Singleton","Unassigned_MappingQuality","Unassigned_Chimera","Unassigned_FragmentLength","Unassigned_Duplicate","Unassigned_MultiMapping","Unassigned_Secondary","Unassigned_NonSplit","Unassigned_NoFeatures","Unassigned_Overlapping_Length","Unassigned_Ambiguity","sub.tissue","SampleType","study.group","challenge.group","animal.number","animal.tatoo","sex","weight","birth.date","viralReadCount","hostReadCount","pc.viral.reads","cohort.uncertain","cohort.numeric","totalReadCount","totalUnassigned","chrY_count","chrX_count","total_count","Xist","sex.1","pc_Y","pc_X","Y_X_ratio","sex_pred","chrY_count.1","chrX_count.1","total_count.1","Xist.1","sex.2","pc_Y.1","pc_X.1","Y_X_ratio.1","sex_pred.1","pred_recorded_sex_mismatch","dpi_time","dpi_time_factor","chrY_count.2","chrX_count.2","chrY_count.3","chrX_count.3","xist_counts","predicted_sex","pred_rec_sex_mismatch","dpi_time_numeric","infected"
"A0113_S113_L002","A0113_S113_L002","A0113","RA0552_Spleen","M","49-E2","D005","RA0522","Spleen",2019-01-10,"RA0552_Spleen_dnRNA","2020-02-07",1.08e+08,1400000,23000,1850,NA,NA,NA,NA,6242831,0,0,0,0,0,0,0,570865,0,0,7492509,0,495997,"","Experimental","5_dpe_scheduled",3,"NHP17","RA0522","F",7.34,"4/7/2011",17336,6225495,0.0027769452672994,FALSE,5,6242831,8559371,63,156589,6242831,788,"F",1.00915754406935e-05,0.0250830112171866,0.000402327111099758,"F",63,156589,6242831,788,"F",1.00915754406935e-05,0.0250830112171866,0.000402327111099758,"F",FALSE,5,"5",63,156589,63,156589,788,"F",FALSE,5,"infected"
"A0113_S66_L002","A0113_S66_L002","A0113","RA0552_Spleen","M","49-E2","D005","RA0522","Spleen",2019-01-10,"RA0552_Spleen_dnRNA","2020-02-07",1.08e+08,1400000,23000,1850,NA,NA,NA,NA,6480296,0,0,0,0,0,0,0,662167,0,0,7797974,0,509420,"","Experimental","5_dpe_scheduled",3,"NHP17","RA0522","F",7.34,"4/7/2011",16666,6463630,0.00257179610314097,FALSE,5,6480296,8969561,68,162436,6480296,930,"F",1.04933478347285e-05,0.0250661389541465,0.000418626412864143,"F",68,162436,6480296,930,"F",1.04933478347285e-05,0.0250661389541465,0.000418626412864143,"F",FALSE,5,"5",68,162436,68,162436,930,"F",FALSE,5,"infected"
"A0114_S112_L002","A0114_S112_L002","A0114","RA0552_Kidney","J","49-E2","D005","RA0522","Kidney",2019-01-10,"RA0552_Kidney_dnRNA-L","2019-10-16",9.57e+10,4.17e+10,8.3,0.888,5.2,300,NA,NA,2302028,0,0,0,0,0,0,0,2333085,0,0,862106,0,5474599,"","Experimental","5_dpe_scheduled",3,"NHP17","RA0522","F",7.34,"4/7/2011",6,2302022,2.60639748951794e-06,FALSE,5,2302028,8669790,21,13970,2302028,10,"F",9.12239121331278e-06,0.00606856215476093,0.00150322118826056,"F",21,13970,2302028,10,"F",9.12239121331278e-06,0.00606856215476093,0.00150322118826056,"F",FALSE,5,"5",21,13970,21,13970,10,"F",FALSE,5,"infected"
"A0117_S115_L002","A0117_S115_L002","A0117","RA0552_Brain-Wh","K","49-E2","D005","RA0522","Brain",2019-01-10,"RA0552_Brain-Wh_dnRNA-L","2019-10-17",1.4e+11,3.35e+10,2.4,0.884,NA,NA,5550,10,715141,0,0,0,0,0,0,0,108885,0,0,821309,0,23223,"Brain-Wh","Experimental","5_dpe_scheduled",3,"NHP17","RA0522","F",7.34,"4/7/2011",0,715141,0,FALSE,5,715141,953417,11,19204,715141,91,"F",1.53815820936011e-05,0.0268534456841378,0.000572797333888773,"F",11,19204,715141,91,"F",1.53815820936011e-05,0.0268534456841378,0.000572797333888773,"F",FALSE,5,"5",11,19204,11,19204,91,"F",FALSE,5,"infected"
"A0118_S28_L001","A0118_S28_L001","A0118","RA0552_Brain-Gr","K","49-E2","D005","RA0522","Brain",2019-01-10,"RA0552_Brain-Gr_dnRNA-L","2019-10-17",4.01e+11,3.74e+10,6.97,0.694,NA,NA,NA,NA,8942615,0,0,0,0,0,0,0,1118900,0,0,11852802,0,394211,"Brain-Gr","Experimental","5_dpe_scheduled",3,"NHP17","RA0522","F",7.34,"4/7/2011",1,8942614,1.11824114087434e-07,FALSE,5,8942615,13365913,164,254496,8942615,1122,"F",1.83391547103392e-05,0.0284587897387956,0.000644410914120458,"F",164,254496,8942615,1122,"F",1.83391547103392e-05,0.0284587897387956,0.000644410914120458,"F",FALSE,5,"5",164,254496,164,254496,1122,"F",FALSE,5,"infected"
"A0120_S164_L002","A0120_S164_L002","A0120","RA0552_LN-AX-R","I","49-E2","D005","RA0522","Lymph node",2019-01-10,"RA0552_LN-AX-R_dnRNA-L","2019-10-09",2.1e+09,5.45e+08,794,32.7,NA,NA,NA,NA,6488157,0,0,0,0,0,0,0,937141,0,0,10710205,0,177769,"","Experimental","5_dpe_scheduled",3,"NHP17","RA0522","F",7.34,"4/7/2011",65,6488092,1.0018253257435e-05,FALSE,5,6488157,11825115,143,170524,6488157,1274,"F",2.20401571663571e-05,0.0262823479764747,0.000838591635195046,"F",143,170524,6488157,1274,"F",2.20401571663571e-05,0.0262823479764747,0.000838591635195046,"F",FALSE,5,"5",143,170524,143,170524,1274,"F",FALSE,5,"infected"
"A0121_S163_L002","A0121_S163_L002","A0121","RA0552_LN-ING-L","I","49-E2","D005","RA0522","Lymph node",2019-01-10,"RA0552_LN-ING-L_dnRNA-L","2019-10-09",8.95e+08,5.2e+08,314,15.6,NA,NA,NA,NA,7082468,0,0,0,0,0,0,0,1052304,0,0,8266852,0,301086,"","Experimental","5_dpe_scheduled",3,"NHP17","RA0522","F",7.34,"4/7/2011",23,7082445,3.2474555479813e-06,FALSE,5,7082468,9620242,145,151151,7082468,790,"F",2.04730893242299e-05,0.0213415718927357,0.000959305595067184,"F",145,151151,7082468,790,"F",2.04730893242299e-05,0.0213415718927357,0.000959305595067184,"F",FALSE,5,"5",145,151151,145,151151,790,"F",FALSE,5,"infected"
"A0122_S162_L002","A0122_S162_L002","A0122","RA0552_LN-MES","I","49-E2","D005","RA0522","Lymph node",2019-01-10,"RA0552_LN-MES_dnRNA-L","2019-10-09",2.8e+09,2.19e+09,21800,2250,NA,NA,NA,NA,6376702,0,0,0,0,0,0,0,1238127,0,0,8476410,0,210162,"","Experimental","5_dpe_scheduled",3,"NHP17","RA0522","F",7.34,"4/7/2011",611,6376091,9.58175558462666e-05,FALSE,5,6376702,9924699,109,157732,6376702,1160,"F",1.70934755928692e-05,0.0247356705707747,0.000691045570968478,"F",109,157732,6376702,1160,"F",1.70934755928692e-05,0.0247356705707747,0.000691045570968478,"F",FALSE,5,"5",109,157732,109,157732,1160,"F",FALSE,5,"infected"
"A0123_L1","A0123_L1","A0123","RA0552_LNG-CD-R","J","49-E2","D005","RA0522","Lung",2019-01-10,"RA0552_LNG-CD-R_dnRNA-L","2019-10-16",8.4e+09,1.63e+09,11.9,0.583,5.7,268,1920,10,3084,0,0,0,0,0,0,0,813,0,0,3231,0,283,"","Experimental","5_dpe_scheduled",3,"NHP17","RA0522","F",7.34,"4/7/2011",0,3084,0,FALSE,5,3084,4327,0,61,3084,1,"F",0,0.0197795071335927,0,"F",0,61,3084,1,"F",0,0.0197795071335927,0,"F",FALSE,5,"5",0,61,0,61,1,"F",FALSE,5,"infected"
"A0123_L2","A0123_L2","A0123","RA0552_LNG-CD-R","J","49-E2","D005","RA0522","Lung",2019-01-10,"RA0552_LNG-CD-R_dnRNA-L","2019-10-16",8.4e+09,1.63e+09,11.9,0.583,5.7,268,1920,10,446497,0,0,0,0,0,0,0,277329,0,0,400023,0,45830,"","Experimental","5_dpe_scheduled",3,"NHP17","RA0522","F",7.34,"4/7/2011",7,446490,1.56775969379414e-05,FALSE,5,446497,723182,5,6180,446497,34,"F",1.1198283527101e-05,0.0138410784394968,0.000809061488673139,"F",5,6180,446497,34,"F",1.1198283527101e-05,0.0138410784394968,0.000809061488673139,"F",FALSE,5,"5",5,6180,5,6180,34,"F",FALSE,5,"infected"
"A0125_S36_L001","A0125_S36_L001","A0125","RA0552_Skin-Rash","E, ABCDE","49-E2","D005","RA0522","Skin",2019-01-10,"RA0552_Skin-Rash_dnRNA","2019-05-08, 2020-03-14",1.3e+10,1.9e+09,9.56,3.74,4.8,19.3,8800,39,2302305,0,0,0,0,0,0,0,246912,0,0,2294022,0,152128,"Rash","Experimental","5_dpe_scheduled",3,"NHP17","RA0522","F",7.34,"4/7/2011",19,2302286,8.25259902575897e-06,FALSE,5,2302305,2693062,72,36027,2302305,362,"F",3.1273006834455e-05,0.0156482307947904,0.00199850112415688,"F",72,36027,2302305,362,"F",3.1273006834455e-05,0.0156482307947904,0.00199850112415688,"F",FALSE,5,"5",72,36027,72,36027,362,"F",FALSE,5,"infected"
"A0126_S35_L001","A0126_S35_L001","A0126","RA0552_Skin-Non-Rash","E, ABCDE","49-E2","D005","RA0522","Skin",2019-01-10,"RA0552_Skin-Non-Rash_dnRNA","2019-05-08, 2020-03-14",1.86e+10,1.02e+10,7.85,1.3,4.5,30.8,11700,40,3536213,0,0,0,0,0,0,0,366147,0,0,3677972,0,150824,"Non-Rash","Experimental","5_dpe_scheduled",3,"NHP17","RA0522","F",7.34,"4/7/2011",15,3536198,4.24182593073438e-06,FALSE,5,3536213,4194943,78,53118,3536213,548,"F",2.20574948398188e-05,0.0150211539859166,0.00146842878120411,"F",78,53118,3536213,548,"F",2.20574948398188e-05,0.0150211539859166,0.00146842878120411,"F",FALSE,5,"5",78,53118,78,53118,548,"F",FALSE,5,"infected"
"A0127_S112_L002","A0127_S112_L002","A0127","RA0452_Spleen","M","49-E2","D005","RA0452","Spleen",2019-01-10,"RA0452_Spleen_dnRNA","2020-02-07",1.05e+08,1610000,82200,3020,NA,NA,20700,12,7276824,0,0,0,0,0,0,0,993458,0,0,8789608,0,887693,"","Experimental","5_dpe_scheduled",3,"NHP16","RA0452","F",5.1,"3/21/2011",51685,7225139,0.00710268655666263,FALSE,5,7276824,10670759,138,179414,7276824,739,"F",1.89643174000086e-05,0.0246555365362691,0.000769170744757934,"F",138,179414,7276824,739,"F",1.89643174000086e-05,0.0246555365362691,0.000769170744757934,"F",FALSE,5,"5",138,179414,138,179414,739,"F",FALSE,5,"infected"
"A0128_S55_L001","A0128_S55_L001","A0128","RA0452_Kidney","J","49-E2","D005","RA0452","Kidney",2019-01-10,"RA0452_Kidney_dnRNA-L","2019-10-16",2.36e+11,6.16e+10,50.7,2.24,5.2,326,1180,50,1254573,0,0,0,0,0,0,0,467211,0,0,1557184,0,80801,"","Experimental","5_dpe_scheduled",3,"NHP16","RA0452","F",5.1,"3/21/2011",257,1254316,0.000204850574657672,FALSE,5,1254573,2105196,36,21661,1254573,219,"F",2.86950221310358e-05,0.0172656353994546,0.00166197313143438,"F",36,21661,1254573,219,"F",2.86950221310358e-05,0.0172656353994546,0.00166197313143438,"F",FALSE,5,"5",36,21661,36,21661,219,"F",FALSE,5,"infected"
"A0129","A0129","A0129","RA0452_Liver-L","L","49-E2","D005","RA0452","Liver",2019-01-10,"RA0452_Liver-L_dnRNA","2020-02-06",4.92e+08,61400000,15400,8810,6.1,645,3150,11,4767737,0,0,0,0,0,0,0,1434780,0,0,1380675,0,12557954,"","Experimental","5_dpe_scheduled",3,"NHP16","RA0452","F",5.1,"3/21/2011",7548,4760189,0.00158314101637737,FALSE,5,4767737,15373409,57,26310,4767737,89,"F",1.1955357436872e-05,0.00551834130112462,0.00216647662485747,"F",57,26310,4767737,89,"F",1.1955357436872e-05,0.00551834130112462,0.00216647662485747,"F",FALSE,5,"5",57,26310,57,26310,89,"F",FALSE,5,"infected"
"A0131","A0131","A0131","RA0452_Brain-Wh","K","49-E2","D005","RA0452","Brain",2019-01-10,"RA0452_Brain-Wh_dnRNA-L","2019-10-17",1.9e+10,7.61e+09,159,16.2,NA,NA,37400,83,2473843,0,0,0,0,0,0,0,175379,0,0,3582030,0,66426,"Brain-Wh","Experimental","5_dpe_scheduled",3,"NHP16","RA0452","F",5.1,"3/21/2011",18,2473825,7.27612867914415e-06,FALSE,5,2473843,3823835,25,70299,2473843,399,"F",1.01057342765891e-05,0.0284169205563975,0.000355623835331939,"F",25,70299,2473843,399,"F",1.01057342765891e-05,0.0284169205563975,0.000355623835331939,"F",FALSE,5,"5",25,70299,25,70299,399,"F",FALSE,5,"infected"
"A0131_S58_L001","A0131_S58_L001","A0131","RA0452_Brain-Wh","K","49-E2","D005","RA0452","Brain",2019-01-10,"RA0452_Brain-Wh_dnRNA-L","2019-10-17",1.9e+10,7.61e+09,159,16.2,NA,NA,37400,83,3580855,0,0,0,0,0,0,0,222817,0,0,5125787,0,93992,"Brain-Wh","Experimental","5_dpe_scheduled",3,"NHP16","RA0452","F",5.1,"3/21/2011",27,3580828,7.54009866358733e-06,FALSE,5,3580855,5442596,38,101733,3580855,680,"F",1.06119907117155e-05,0.0284102539756567,0.000373526780887224,"F",38,101733,3580855,680,"F",1.06119907117155e-05,0.0284102539756567,0.000373526780887224,"F",FALSE,5,"5",38,101733,38,101733,680,"F",FALSE,5,"infected"
"A0132_S81_L002","A0132_S81_L002","A0132","RA0452_Brain-Gr","K","49-E2","D005","RA0452","Brain",2019-01-10,"RA0452_Brain-Gr_dnRNA-L","2019-10-17",4.58e+10,4.62e+09,127,27.5,NA,NA,NA,NA,6330477,0,0,0,0,0,0,0,615676,0,0,11255522,0,249126,"Brain-Gr","Experimental","5_dpe_scheduled",3,"NHP16","RA0452","F",5.1,"3/21/2011",58,6330419,9.16202681093384e-06,FALSE,5,6330477,12120324,147,181450,6330477,1574,"F",2.32209989863323e-05,0.028662926980068,0.00081014053458253,"F",147,181450,6330477,1574,"F",2.32209989863323e-05,0.028662926980068,0.00081014053458253,"F",FALSE,5,"5",147,181450,147,181450,1574,"F",FALSE,5,"infected"
"A0134_S161_L002","A0134_S161_L002","A0134","RA0452_LN-AX-R","I","49-E2","D005","RA0452","Lymph node",2019-01-10,"RA0452_LN-AX-R_dnRNA-L","2019-10-09",1.25e+10,1.42e+09,23300,2680,NA,NA,NA,NA,7005491,0,0,0,0,0,0,0,438114,0,0,7949167,0,2577931,"","Experimental","5_dpe_scheduled",3,"NHP16","RA0452","F",5.1,"3/21/2011",1610,7003881,0.000229819722843124,FALSE,5,7005491,10965212,171,181375,7005491,726,"F",2.44094239789902e-05,0.0258904051122184,0.000942798070296347,"F",171,181375,7005491,726,"F",2.44094239789902e-05,0.0258904051122184,0.000942798070296347,"F",FALSE,5,"5",171,181375,171,181375,726,"F",FALSE,5,"infected"
"A0135_S160_L002","A0135_S160_L002","A0135","RA0452_LN-ING-L","I","49-E2","D005","RA0452","Lymph node",2019-01-10,"RA0452_LN-ING-L_dnRNA-L","2019-10-09",3.72e+09,2.06e+09,57200,2170,NA,NA,357,11,8507625,0,0,0,0,0,0,0,821398,0,0,11320409,0,272583,"","Experimental","5_dpe_scheduled",3,"NHP16","RA0452","F",5.1,"3/21/2011",5719,8501906,0.00067222050807364,FALSE,5,8507625,12414390,289,216407,8507625,1442,"F",3.39695273357723e-05,0.0254368287271712,0.0013354466352752,"F",289,216407,8507625,1442,"F",3.39695273357723e-05,0.0254368287271712,0.0013354466352752,"F",FALSE,5,"5",289,216407,289,216407,1442,"F",FALSE,5,"infected"
"A0136_S159_L002","A0136_S159_L002","A0136","RA0452_LN-MES","I","49-E2","D005","RA0452","Lymph node",2019-01-10,"RA0452_LN-MES_dnRNA-L","2019-10-09",9e+09,5.4e+09,32900,5570,NA,NA,494,6,6837585,0,0,0,0,0,0,0,564620,0,0,7775151,0,1882639,"","Experimental","5_dpe_scheduled",3,"NHP16","RA0452","F",5.1,"3/21/2011",3332,6834253,0.000487306556335314,FALSE,5,6837585,10222410,110,177602,6837585,726,"F",1.60875513796172e-05,0.0259743754556616,0.000619362394567629,"F",110,177602,6837585,726,"F",1.60875513796172e-05,0.0259743754556616,0.000619362394567629,"F",FALSE,5,"5",110,177602,110,177602,726,"F",FALSE,5,"infected"
"A0137","A0137","A0137","RA0452_LNG-CD-R","J","49-E2","D005","RA0452","Lung",2019-01-10,"RA0452_LNG-CD-R_dnRNA-L","2019-10-16",3.88e+09,8.92e+08,7.76,0.345,7.5,38.1,6480,41,753782,0,0,0,0,0,0,0,77377,0,0,607129,0,37673,"","Experimental","5_dpe_scheduled",3,"NHP16","RA0452","F",5.1,"3/21/2011",2967,750815,0.00393615130103929,FALSE,5,753782,722179,72,18351,753782,41,"F",9.55183328866967e-05,0.0243452350944968,0.00392349190779794,"F",72,18351,753782,41,"F",9.55183328866967e-05,0.0243452350944968,0.00392349190779794,"F",FALSE,5,"5",72,18351,72,18351,41,"F",FALSE,5,"infected"
"A0139_S34_L001","A0139_S34_L001","A0139","RA0452_Skin-Rash","E, ABCDE","49-E2","D005","RA0452","Skin",2019-01-10,"RA0452_Skin-Rash_dnRNA","2019-05-08, 2020-03-14",2.69e+09,5.49e+08,15.2,1.48,6.3,7.24,NA,NA,2822466,0,0,0,0,0,0,0,263697,0,0,1888137,0,107853,"Rash","Experimental","5_dpe_scheduled",3,"NHP16","RA0452","F",5.1,"3/21/2011",33,2822433,1.16919034631418e-05,FALSE,5,2822466,2259687,93,44369,2822466,262,"F",3.29499097597633e-05,0.0157199413562466,0.0020960580585544,"F",93,44369,2822466,262,"F",3.29499097597633e-05,0.0157199413562466,0.0020960580585544,"F",FALSE,5,"5",93,44369,93,44369,262,"F",FALSE,5,"infected"
"A0140_S33_L001","A0140_S33_L001","A0140","RA0452_Skin-Non-Rash","E, ABCDE","49-E2","D005","RA0452","Skin",2019-01-10,"RA0452_Skin-Non-Rash_dnRNA","2019-05-08, 2020-03-14",1.91e+09,3.29e+08,163,14.9,NA,NA,NA,NA,2247056,0,0,0,0,0,0,0,256940,0,0,1583260,0,105291,"Non-Rash","Experimental","5_dpe_scheduled",3,"NHP16","RA0452","F",5.1,"3/21/2011",767,2246289,0.000341335507437287,FALSE,5,2247056,1945491,120,33037,2247056,353,"F",5.34032084647646e-05,0.0147023483170869,0.00363229106759088,"F",120,33037,2247056,353,"F",5.34032084647646e-05,0.0147023483170869,0.00363229106759088,"F",FALSE,5,"5",120,33037,120,33037,353,"F",FALSE,5,"infected"
"A0141_S111_L002","A0141_S111_L002","A0141","RA1790_Spleen","M","49-E2","D007","RA1790","Spleen",2019-01-10,"RA1790_Spleen_dnRNA","2020-02-07",52300000,5830000,156000,43500,NA,NA,NA,NA,5559591,0,0,0,0,0,0,0,1090966,0,0,7306461,0,356933,"","Experimental","terminal_routine_manipulations",2,"NHP10","RA1790","F",5.82,"5/30/2011",232327,5327264,0.0417885056652549,FALSE,7,5559591,8754360,52,96618,5559591,551,"F",9.35320601821249e-06,0.0173786165205318,0.000538201991347368,"F",52,96618,5559591,551,"F",9.35320601821249e-06,0.0173786165205318,0.000538201991347368,"F",FALSE,7,"7",52,96618,52,96618,551,"F",FALSE,7,"infected"
"A0141_S65_L002","A0141_S65_L002","A0141","RA1790_Spleen","M","49-E2","D007","RA1790","Spleen",2019-01-10,"RA1790_Spleen_dnRNA","2020-02-07",52300000,5830000,156000,43500,NA,NA,NA,NA,5742082,0,0,0,0,0,0,0,1315497,0,0,7240986,0,277795,"","Experimental","terminal_routine_manipulations",2,"NHP10","RA1790","F",5.82,"5/30/2011",232374,5509708,0.0404685965822153,FALSE,7,5742082,8834278,82,100245,5742082,656,"F",1.4280534482092e-05,0.0174579534043575,0.00081799591002045,"F",82,100245,5742082,656,"F",1.4280534482092e-05,0.0174579534043575,0.00081799591002045,"F",FALSE,7,"7",82,100245,82,100245,656,"F",FALSE,7,"infected"
"A0142_S105_L002","A0142_S105_L002","A0142","RA1790_Kidney","J","49-E2","D007","RA1790","Kidney",2019-01-10,"RA1790_Kidney_dnRNA-L","2019-10-16",5.76e+10,1.01e+10,345,28,7.4,102,NA,NA,1491843,0,0,0,0,0,0,0,670813,0,0,601430,0,361708,"","Experimental","terminal_routine_manipulations",2,"NHP10","RA1790","F",5.82,"5/30/2011",4857,1486986,0.00325570452118621,FALSE,7,1491843,1633951,29,18673,1491843,17,"F",1.94390428483426e-05,0.0125167326588656,0.00155304450275799,"F",29,18673,1491843,17,"F",1.94390428483426e-05,0.0125167326588656,0.00155304450275799,"F",FALSE,7,"7",29,18673,29,18673,17,"F",FALSE,7,"infected"
"A0144","A0144","A0144","RA1790_Adrenal","D, ABCDE","49-E2","D007","RA1790","Adrenal Gland",2019-01-10,"RA1790_Adrenal_dnRNA","2019-04-09, 2020-03-14",1.46e+08,1180000,93100,2650,3.4,113,2410,62,127313,0,0,0,0,0,0,0,94550,0,0,196277,0,4222,"","Experimental","terminal_routine_manipulations",2,"NHP10","RA1790","F",5.82,"5/30/2011",1376,125937,0.0108080086087045,FALSE,7,127313,295049,3,2675,127313,23,"F",2.356397225735e-05,0.0210112085961371,0.0011214953271028,"F",3,2675,127313,23,"F",2.356397225735e-05,0.0210112085961371,0.0011214953271028,"F",FALSE,7,"7",3,2675,3,2675,23,"F",FALSE,7,"infected"
"A0145","A0145","A0145","RA1790_Brain-Wh","K","49-E2","D007","RA1790","Brain",2019-01-10,"RA1790_Brain-Wh_dnRNA-L","2019-10-17",3.44e+10,3.09e+09,384,23.4,NA,NA,3780,12,2346338,0,0,0,0,0,0,0,226021,0,0,2890659,0,64181,"Brain-Wh","Experimental","terminal_routine_manipulations",2,"NHP10","RA1790","F",5.82,"5/30/2011",37,2346301,1.57692540460923e-05,FALSE,7,2346338,3180861,30,65094,2346338,397,"F",1.27858816589937e-05,0.0277428060236846,0.000460871969766799,"F",30,65094,2346338,397,"F",1.27858816589937e-05,0.0277428060236846,0.000460871969766799,"F",FALSE,7,"7",30,65094,30,65094,397,"F",FALSE,7,"infected"
"A0145_S57_L001","A0145_S57_L001","A0145","RA1790_Brain-Wh","K","49-E2","D007","RA1790","Brain",2019-01-10,"RA1790_Brain-Wh_dnRNA-L","2019-10-17",3.44e+10,3.09e+09,384,23.4,NA,NA,3780,12,2117175,0,0,0,0,0,0,0,163992,0,0,2536903,0,55689,"Brain-Wh","Experimental","terminal_routine_manipulations",2,"NHP10","RA1790","F",5.82,"5/30/2011",31,2117144,1.46421528687992e-05,FALSE,7,2117175,2756584,29,59422,2117175,368,"F",1.36974978450057e-05,0.0280666454119286,0.000488034734610077,"F",29,59422,2117175,368,"F",1.36974978450057e-05,0.0280666454119286,0.000488034734610077,"F",FALSE,7,"7",29,59422,29,59422,368,"F",FALSE,7,"infected"
"A0146_S80_L002","A0146_S80_L002","A0146","RA1790_Brain-Gr","K","49-E2","D007","RA1790","Brain",2019-01-10,"RA1790_Brain-Gr_dnRNA-L","2019-10-17",6.74e+11,7.59e+10,5540,213,NA,NA,NA,NA,7959111,0,0,0,0,0,0,0,935290,0,0,11147767,0,287300,"Brain-Gr","Experimental","terminal_routine_manipulations",2,"NHP10","RA1790","F",5.82,"5/30/2011",333,7958778,4.1838843559287e-05,FALSE,7,7959111,12370357,162,214702,7959111,1909,"F",2.03540320018153e-05,0.0269756257953935,0.000754534191577163,"F",162,214702,7959111,1909,"F",2.03540320018153e-05,0.0269756257953935,0.000754534191577163,"F",FALSE,7,"7",162,214702,162,214702,1909,"F",FALSE,7,"infected"
"A0148_S158_L002","A0148_S158_L002","A0148","RA1790_LN-AX-R","I","49-E2","D007","RA1790","Lymph node",2019-01-10,"RA1790_LN-AX-R_dnRNA-L","2019-10-09",8.05e+08,1.8e+08,351000,12800,NA,NA,NA,NA,8256354,0,0,0,0,0,0,0,916459,0,0,10415541,0,355769,"","Experimental","terminal_routine_manipulations",2,"NHP10","RA1790","F",5.82,"5/30/2011",46269,8210085,0.00560404750087024,FALSE,7,8256354,11687769,129,181932,8256354,1098,"F",1.56243300614291e-05,0.0220353923777978,0.00070905613086208,"F",129,181932,8256354,1098,"F",1.56243300614291e-05,0.0220353923777978,0.00070905613086208,"F",FALSE,7,"7",129,181932,129,181932,1098,"F",FALSE,7,"infected"
"A0149_S157_L002","A0149_S157_L002","A0149","RA1790_LN-ING-L","I","49-E2","D007","RA1790","Lymph node",2019-01-10,"RA1790_LN-ING-L_dnRNA-L","2019-10-09",2.81e+09,1.77e+09,398000,17000,NA,NA,NA,NA,9187297,0,0,0,0,0,0,0,989425,0,0,10446860,0,362582,"","Experimental","terminal_routine_manipulations",2,"NHP10","RA1790","F",5.82,"5/30/2011",156990,9030307,0.0170877244961168,FALSE,7,9187297,11798867,195,211075,9187297,1066,"F",2.12249587664359e-05,0.0229746572903869,0.000923842236171977,"F",195,211075,9187297,1066,"F",2.12249587664359e-05,0.0229746572903869,0.000923842236171977,"F",FALSE,7,"7",195,211075,195,211075,1066,"F",FALSE,7,"infected"
"A0150_S156_L002","A0150_S156_L002","A0150","RA1790_LN-MES","I","49-E2","D007","RA1790","Lymph node",2019-01-10,"RA1790_LN-MES_dnRNA-L","2019-10-09",2.47e+09,1.88e+09,577000,26700,NA,NA,NA,NA,6764177,0,0,0,0,0,0,0,1149036,0,0,7109917,0,344613,"","Experimental","terminal_routine_manipulations",2,"NHP10","RA1790","F",5.82,"5/30/2011",61800,6702377,0.00913636647887836,FALSE,7,6764177,8603566,107,164191,6764177,754,"F",1.58186280459544e-05,0.0242736108176945,0.000651680055545066,"F",107,164191,6764177,754,"F",1.58186280459544e-05,0.0242736108176945,0.000651680055545066,"F",FALSE,7,"7",107,164191,107,164191,754,"F",FALSE,7,"infected"
"A0153_S32_L001","A0153_S32_L001","A0153","RA1790_Skin-Rash","E, ABCDE","49-E2","D007","RA1790","Skin",2019-01-10,"RA1790_Skin-Rash_dnRNA","2019-05-08, 2020-03-14",1.06e+09,1.9e+08,423,58.2,NA,NA,3020,43,740972,0,0,0,0,0,0,0,105071,0,0,417684,0,46718,"Rash","Experimental","terminal_routine_manipulations",2,"NHP10","RA1790","F",5.82,"5/30/2011",3849,737123,0.00519452826827465,FALSE,7,740972,569473,32,10986,740972,78,"F",4.31865171693397e-05,0.0148264711756989,0.00291279810668123,"F",32,10986,740972,78,"F",4.31865171693397e-05,0.0148264711756989,0.00291279810668123,"F",FALSE,7,"7",32,10986,32,10986,78,"F",FALSE,7,"infected"
"A0154_S31_L001","A0154_S31_L001","A0154","RA1790_Skin-Non-Rash","E, ABCDE","49-E2","D007","RA1790","Skin",2019-01-10,"RA1790_Skin-Non-Rash_dnRNA","2019-05-08, 2020-03-14",1.53e+09,2.13e+08,445,76.8,5.8,5.96,10100,44,3167840,0,0,0,0,0,0,0,239542,0,0,1710741,0,133255,"Non-Rash","Experimental","terminal_routine_manipulations",2,"NHP10","RA1790","F",5.82,"5/30/2011",4745,3163095,0.0014978660538411,FALSE,7,3167840,2083538,167,48922,3167840,354,"F",5.27173089549977e-05,0.0154433304712359,0.00341359715465435,"F",167,48922,3167840,354,"F",5.27173089549977e-05,0.0154433304712359,0.00341359715465435,"F",FALSE,7,"7",167,48922,167,48922,354,"F",FALSE,7,"infected"
